,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
1188,65-74,Post-Menopausal Osteoporosis Prevention,2011-10-07,fosamax,1273,3,3,"I have been on these drugs for almost 5 years, hope I can go off it next year, my sister in UK has had a time with dental procedures , I had a tooth removed and also had the one next to it crack while on fosamax , the dentist told me to go off of it when I need another tooth pulled. Do hope this is doing some good for me , have some osteoporosis  arthirtis .",3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.9997813,0.9961177
1189,65-74,Osteoporosis caused by Glucocorticoid Drugs,2012-01-20,forteo pen injector,64474,5,1,I am a 71 year old male in my 2nd month of taking Forteo. Some dizziness. Need comments from other males.,1,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,2,0.99967885,0.24089031
1190,75 or over,Osteoporosis in Men due to Deficient Function of Testis,2011-11-02,forteo pen injector,64474,4,1,frequent bowel acivity,1,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,0,0.8765269,0.005240171
1191,55-64,Osteoporosis caused by Glucocorticoid Drugs,2011-09-03,fosamax,1273,2,1,"I will be 60 y.o next month, with R/a and O/a for over 10yrs now, taking Remicade monthly. Diagnosed Osteoporosis last July 2011 , put on Fosamax weekly, after 3 doses, I felt unbearable pain on right hip, bones and muscles. Could not explain this feeling, all the side effects listed I experienced. I will not recommend  this at all. I take calcium and Vit D, exercise and yoga, delete sugar and salt in my food, started gluten free food and paleo diet. My doctor recommends Reclast, I am so hesitant to take any bec it has the same side effects.I will try to live with no pain from the side effectst for now.",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",3,0.9997831,0.9973826
1192,55-64,Post-Menopausal Osteoporosis Prevention,2011-08-16,fosamax,1273,4,1,After only 3 doses of this drug my scalp started to itch.I only took 3 more tablets when a very itch rash has travelled right down my body causing extreme irritation and blisters which are erupting and causing scaring. It is 2 months since I stopped taking this drug and I am still suffering. Patients should be tested for allergic reactions before taking this drug. ,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.99979657,0.0011253747
1193,55-64,Osteoporosis caused by Glucocorticoid Drugs,2011-07-23,forteo pen injector,64474,5,2,"I'm surprised no one has been upset about risk of bone cancer. Took for little over year, constant nausea, weight down 30+ pounds, ther wasn't anywhere that I didn't ache and hurt. Stopped taking after bout of nausea and vomiting. Feel 100% better now. Haven't been back to docs, only my prime care and GI doc and they are always in a hurry, so nothing was said.",1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,1,0.9997607,0.0016491234
1194,65-74,Osteoporosis caused by Glucocorticoid Drugs,2011-08-02,fosamax,1273,1,1,"I am a two time 74 year old cancer reacearch patient since 2005 and cancer free today! I have been on drugs to compensate for no renal glands. My local Doctor put me on Foreto shots which I did for seven months and had severe cramping in my legs I couldn't walk! now Doctor wants me to take Fosamax which is not gowing to happen! Insteda I am taking Ostivone & Maginesium Citrate,that are safe with no known side effects and have extensive clinical trials on Bone Health. These swanson vitamins are reasonable priced and work without the high price and heartbreaking results from over advertised drugs. ",1,Male,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.99969566,0.99815035
1195,65-74,Glucocorticoid-Induced Osteoporosis Prevention,2011-07-27,fosamax,1273,5,5,Osteopenia in the lower back.Bone loss has stopped.,5,Male,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.9820535,0.99574214
1196,55-64,Osteoporosis caused by Glucocorticoid Drugs,2011-06-13,fosamax,1273,5,5,no side affects...bone mass measurements improved impressively.,5,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.915709,0.995878
1197,65-74,Post-Menopausal Osteoporosis Prevention,2011-05-16,fosamax,1273,3,3,My doctor prescribed it for 10 years.  Last year I went to him and he said it's only good for 3 years and I said why didn't you take me off it.  I've had back pain for the entire 10 years I was taking it.  Arthritis as well.  I wouldn't recommend it to others.  ,3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",3,0.9997073,0.0021106538
1198,45-54,Osteoporosis caused by Glucocorticoid Drugs,2011-05-18,forteo pen injector,64474,2,2,"I am 52 yrs old and have had 5 compression fractures since January 2010. I have had Reclast 1 dose in April 2010 then had another fracture in March 2011. Was put on Forteo Sub-Q to see if there could be any improvement. Within a week or so of Forteo treatment I had increased joint pain & was not able to sleep thru the night. I thought maybe this is just an initial reaction & it would level out & improve with time. Was I ever wrong. I have taken Forteo Sub-Q daily for about 6 weeks now & cannot take the pain or sleepless nights any more. I have decided with my Dr., to Stop Forteo & to try something else. The pain has gotten out of control & not sleeping is very draining. I would not advise anyone to continue this med if their pain increased as mine has. Be sure to inform your Dr. ASAP. Don't suffer.",1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,4,0.9999051,0.22404884
1199,75 or over,Post-Menopausal Osteoporosis Prevention,2011-04-12,fosamax,1273,4,3,Had to change because Ath. Ins. deny it this year. (maybe because it had Vit. C in it.) Improve some.,3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",0,0.3321946,0.08082485
1200,55-64,Osteoporosis caused by Glucocorticoid Drugs,2011-02-11,forteo pen injector,64474,1,1,I have been taking the Foreteo about 31/2 months. I woke up evety night to unberable leg and foot cramps.  Now I get up about 2 am for the injectio.  No cramps. ,1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,1,0.9997906,0.9730017
1201,65-74,Osteoporosis caused by Glucocorticoid Drugs,2011-01-30,forteo pen injector,64474,5,5,My first bone density text ater 20 mos. of use increased my bone density reading from -2.5 to -1.3. Have 3 mos. more to go.,5,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,6,0.9956416,0.99973816
1202,45-54,Osteoporosis caused by Glucocorticoid Drugs,2010-12-21,forteo pen injector,64474,5,3,"Im a 49yr old man who has osteoperosis for the last 14 yrs do to long tern cortisteroid use.ive reacted negatively to years on fosamax so have been on forteo now for 2 months.the first two weeks were very rough.i was very dizy stomach upset very tired chills,also had increased joint pain and some swelling in my legs.these have gone away as of now except being dizzy once in a while and a slight increase in joint pain.overall now i dont really have any issues taking this drug.hopefully it will continue this way. 12/21/10",3,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,2,0.99974495,0.998106
1203,45-54,Osteoporosis caused by Glucocorticoid Drugs,2010-12-06,fosamax,1273,3,1,"Extensive, joint, bone and muscular pain. A nightmare",1,Male,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",3,0.994354,0.0003340591
1204,55-64,Post-Menopausal Osteoporosis Prevention,2010-12-01,fosamax,1273,1,1,"After I started taking Fosamax I developed a pain in my right thigh that just kept getting worse.  I was constantly nauseated, alternated between constipation and diarhea, broke out in a rash under my arms, across my breasts and upper stomach and developed gas until I was belching evry 10 minutes.",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.9998073,0.0015919572
1205,45-54,Osteoporosis caused by Glucocorticoid Drugs,2010-11-21,forteo pen injector,64474,5,1,"i am a 49 yr old man who is about to start taking forteo for osteoperosis.i have had 9 fractures since 1996 and landed in a whellchair for almost 7 yrs.i have been on fosamax for years and it has not been effective.also my body doen not seem to want to absorb vit D and my levels are almost non existant even with high doses i have been taking.so now the doc has put me on this drug.Im reading all the negative side affects both men and woman are having and it is freaking me out a bit.i would like to hear from some of you men and or woman who have been on this drug for a while so i can get some better info on what i need to do,",1,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,1,0.9997422,0.96074396
1206,75 or over,Post-Menopausal Osteoporosis Prevention,2010-11-18,fosamax,1273,4,3,severe reaction after 10 years. Pain in joints and stiffness. Tired ,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.9990735,0.0011428343
1207,55-64,Osteoporosis caused by Glucocorticoid Drugs,2010-11-15,fosamax,1273,2,2,I have been on Fosomax for more than 10 years and have had joint and aches in my bones for a long time and i have jsute recently heard that it is from the Fosomax and stopped taking it immediately...now have a book about dietary changes that i will try and add more organic vitamins to my regime and hopefully will be able to increase my bone mass that way. ,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",3,0.99976116,0.9963727
1208,45-54,Osteoporosis caused by Glucocorticoid Drugs,2010-11-10,fosamax,1273,1,1,I have not taken this medication yet.  I just picked it up at the RX.  I decided to log on and read the reviews.  Thank you everyone.  After reading the reviews I have decided not to take this RX.  I will call my doc.  I only wish I would have read the reviews first.,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",4,0.9921933,0.0018311266
1209,65-74,Osteoporosis caused by Glucocorticoid Drugs,2010-10-14,forteo pen injector,64474,5,1,"Started the Forteo injections December 09. Although the injections were easy to administer,within two weeks the side effects were overwhelming, fatigue,severe pain in joints,muscle weakness,swollen face,difficulty swallowing,food would not digest, increased blood pressure, memory loss, nausea, chronic diarrhea, severe headaches,pain in top of head, weepy, disoriented,loss of appetite, flu like symptoms. After one month I was taken off the medication by the Endocrologist. The severe joint pain subsided after a few weeks along with most of the other symptoms,although the digestive issues and chronic diarrhea continued. After a 12 pound weight loss I was referred to a Gasteroenterologist. I was diagnosed with gastroparesis. The gastroenterologist has suggested that drugs that are used to treat bone loss have contributed to digestive issues. I had no digestive issues before starting the Forteo. I have also experienced extreme hair loss and issue with my thyroid gland. I have experienced issues with my heart also and a recent stress test came back abnormal.I think this drug should be taken off the market. The long term side effects I continue to experience from this medication 11 months later far outweigh any positive affects on my bone loss. I still do not know the long term affect on my thyroid function and heart issues.  ",1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,4,0.99992085,0.011902964
1210,55-64,Post-Menopausal Osteoporosis Prevention,2010-10-29,fosamax,1273,5,2,took for years but then got layed off and cant afford,2,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",0,0.9190027,0.002089313
1211,45-54,Osteoporosis caused by Glucocorticoid Drugs,2010-10-07,forteo pen injector,64474,4,3,"I have used 12 ""pens"" with only slight improvement in my six month dexa-scan.  I too, have experienced weight gain and severe muscle cramping in my calves at night.  So much so, that I was prescribed Bacloven for relief.  The worst side effect however, was severe cracking of the skin on both my hands and feet.  I am discontinuing Forteo to see if my symptoms improve AND most importantly for the financial burden taking this medication has caused me.  No help from the Forteo-Connect, as I make more than $1600 a month.  Are you kidding me?  At $1000 a month out of pocket expense since I am in the Medicare donut hole, that leaves me a whopping $600 a month to live on!",1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,2,0.9995907,0.0009741042
1212,75 or over,Osteoporosis caused by Glucocorticoid Drugs,2010-09-17,forteo pen injector,64474,4,1,"I am a 75 year old female, and I started on Forteo May 26, 2010, and nine days later had chest pains which took me to the ER. They found nothing. A week or so later I had Atrial fibrillation, for which I was put on warfarin, and high blood pressure which I now take medication. Several days later had terrible chest pains and shortness of breath, and found I had pericardial effusion for which I was hospitalized and had to have the fluid drained off. I was put on Digoxin for heart rhythm, and developed a toxic reaction to that, and ended up in ICU. Soon after that I developed a pleural effusion and hospitalized again. By then I had been off of the Forteo for 4 weeks, and things started looking better, but have had to take prednisone for several weeks, and also colchicine for the pericarditis. No one will admit it was the Forteo, but I will not be taking it again.",1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,3,0.99990547,0.88213056
1213,65-74,Post-Menopausal Osteoporosis Prevention,2010-08-25,fosamax,1273,5,3,"I started taking Fosamax in 2005 and stopped in 2010 after having a spontaneous femur fracture. I had pain in my right thigh for 4 months before my doc ordered an X-ray and an MRI and diagnosed a stress fracture in the same place. There is no other explanation for the fracture other than that Fosmax changes the composition of the bone and makes it brittle. Finally the FDA is investigating, but I don't hold out much hope for anything significant to come from that, given that they have been so lax on other dangerous drugs. The news media needs to get an investigation going and people need to file lawsuits. Lawyers are taking cases other than osteonecrosis now that so many femur fractures have been reported. Only in July 2009 did Merck put a warning about femur fractures in its side-effects information and it is buried where no one could find it without a magnifying glass. There should be a black box warning or it should be removed from the market altogether. I am telling everyone I know to beware of these dangerous side effects. Everyone who has had these terrible problems should do the same! I have also reported the problem to the FDA.",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",9,0.99854976,0.0652646
1214,55-64,Osteoporosis in Men due to Deficient Function of Testis,2010-05-10,forteo pen injector,64474,3,3,"Used for two years. It helped with bone density but, now have pain in joints and back. Developed severe case Peyronie Disease while taking this drug, although it is not listed as a side effect. Not sure it should be used on men.",1,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,2,0.9998828,0.008968261
1215,55-64,Osteoporosis caused by Glucocorticoid Drugs,2010-03-25,forteo pen injector,64474,5,3,less aching in the legs and back,4,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,0,0.8594884,0.052268106
1216,55-64,Osteoporosis caused by Glucocorticoid Drugs,2010-07-21,fosamax,1273,4,3,"I suffered a sub-trochantral femoral fracture in March of 2010 because of Fosamax.  My doctor's left me on it for 13 years.  Far too long, we know now.  A little late!",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",3,0.99803394,0.9945943
1217,65-74,Post-Menopausal Osteoporosis Prevention,2010-06-17,fosamax,1273,1,1,"took boniva 6 yrs. terrible joint and muscle pain and extreme acid reflex caused me to go on Prevacid.  Jan.1,2010 went on Fosamax because it was cheaper than $80 for 1 Boniva mo. Within 2 weeks I had optical migranes with flashing lights of different colors and couldn't see tv or computer, couldn't focus to see and dry itchy eyes. Also, stomach bloating,bad gas, burping, upper stomach pain, constant clearing throat, muscle spasms in back and legs, chest pain, jaw pain felt like mumps, disorinted, ulcer in stomach and throat, palpatations, nausea daily, dizziness, headaches, mind didn't function right,extreme hip,back,shoulder,feet pain, couldn't walk. nose bleed,pins and needles down arms.You name it, and now dental problems from perfect teeth 2 yrs ago to now teeth are breaking down and need numerous root canals and crowns to save teeth with possible extractions on ones that wont support a crown. After stopping Fosamax, within 3 days 80% of symptoms were gone. Being off 5 weeks, all symptoms were gone except the dental which I just found out about.  FOSAMAX HAS CAUSED ME MUCH PAIN AND I WILL NEVER, NEVER CONSIDER ANY TREATMENT DRUGS AGAIN AND HOPE EVERYONE KNOWS HOW BAD IT IS.  IT DIDNOT EVEN IMPROVE MY OSTEO BUT .1 IMPROVEMENT OVER 6 YRS.  MY DOCTOR SUGGESTED THE 1X A YR. SHOT. THE SIDE EFFECTS ARE EVEN WORSE ACCORDING TO REVIEWS I READ FROM PEOPLE BEING TOTALLY PARALIZED ETC.  PLEASE BE CAREFUL.  THEY SHOULD NOT BE SELLING THIS DRUG. ",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",5,0.9993507,0.0024344064
1218,65-74,Post-Menopausal Osteoporosis Prevention,2010-05-14,fosamax,1273,5,4,This drug has increased bone growth in my lower spine. That is great.My problem is that I Have enlarged tori in my mouth that needs to be removed.The Fosamax has caused the possibility that this surgery would not heal and could go into osteonecrosis. I am told that you never can lessen the amount of biphosphanates in your system as they have a cumulative effect.,3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",5,0.99987626,0.8165815
1219,65-74,Post-Menopausal Osteoporosis Prevention,2010-04-28,fosamax,1273,5,5,"I have been taking this for about 5 years, and although my bone density has gradually improved I am experiencing extreme muscle and joint discomfort, so much so that I stopped taking it and have some relief from the pain. I have questions as to how taking this affects the bones when healing from surgery and/or from a break. Does this inhibit the healing process as I have seen noted in other information that I have come across?",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",6,0.99982387,0.008595951
1220,55-64,Post-Menopausal Osteoporosis Prevention,2010-04-16,fosamax,1273,5,5,"I have been taking this drug for ten years without any side effects.  The first couple years my bone mass increased a little bit, and then after menopause has held steady.  I am very satisfied that this drug will help prevent the hip fractures that have plagued the past three generations in my family.",5,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",5,0.9991412,0.99948573
1221,65-74,Post-Menopausal Osteoporosis Prevention,2010-04-05,fosamax,1273,5,5,Had my first improved BMD test in 20 years...have taken it for two years and have gain a 20% increase in bone mass. Just thrilled.I have just about moved out of the osteopenia class into normal.,5,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",3,0.99752754,0.9997043
1222,65-74,Post-Menopausal Osteoporosis Prevention,2010-04-05,fosamax,1273,3,3,what about the latest report of alendronate causing breaking of the femur if taken for 5-6 years??  I'm worried. New England journal of med.  M Halvorsen,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",5,0.98793066,0.002393257
1223,45-54,Osteoporosis in Men due to Deficient Function of Testis,2009-10-31,forteo pen injector,64474,3,3,"I AM 53  YEAR OLD MALE WAS  VERY  ACTIVE TILL 2  YEARS AGO, WAS ON ACTONEL  FOR  A  1 YEAR  DENSITY TEST GOT  WORSE, I AM GOING TO  START FORTEO NEXT WEEK. IS  ANY MANS  COMENTS  OUT  THERE,  PLEASE  RESPOND.",3,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,0,0.95130956,0.041333653
1224,75 or over,Post-Menopausal Osteoporosis Prevention,2010-03-31,fosamax,1273,4,3,"The increase in bone mass has been so slight, if at all, that taking the medication may not be worth the risk of spontaneous fractures.",3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",6,0.99472964,0.99735886
1225,55-64,Glucocorticoid-Induced Osteoporosis Prevention,2010-03-12,fosamax,1273,2,4,"I've taken it because the prednisone I'm taking (post kidney transplant) weakens my bones. I highly recommend bone density tests every couple of years!  Now I see that long-term use is causing thigh (femur) fractures, a fact known to both FDA and Big Pharm!  Even tho I take it exactly as recommended, I have had problems with acid reflux when sleeping and have to sleep with my head raised.",3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",7,0.9999113,0.071669936
1226,35-44,Post-Menopausal Osteoporosis Prevention,2010-03-10,fosamax,1273,1,1,"Do not take this medication!! It causes jaw bone loss even in healthy people. It can effect future dental proceedures, for example: dental(tooth) inplants, It stays in your system for 10-15 years. If you have current TMJ problems, Don't take this medication. Please do a google search on 'dangers of fosamax"" before you think about starting it. This includes Boniva also.",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",4,0.999353,0.0034319337
1227,55-64,Post-Menopausal Osteoporosis Prevention,2010-02-17,fosamax,1273,3,3,I have terrrible heartburn even after stopping this drug a year ago.  It often is accompanied with chest pain.  I am miserable.,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",1,0.9995384,0.0006478865
1228,45-54,Post-Menopausal Osteoporosis Prevention,2010-01-23,fosamax,1273,2,2,I have jaw pain,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",1,0.91725373,0.00093148556
1229,55-64,Post-Menopausal Osteoporosis Prevention,2010-01-06,fosamax,1273,3,1,"After taking this medication for 6 months I gave it up.  I ended up with horrific jaw pain, was diagnosed with TMJ.  My dentist advised me to quit taking it and I agreed.  I had to have TMJ therapy and an appliance that I have to wear nightly to keep the TMJ away.  I never had trouble before.  I also had to have two root canals during the time I was taking it.  It also gave me stomach problems.  I am exercising more, consuming more calcium rich foods plus Vitamin D.  ",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",5,0.99956673,0.99607784
1230,45-54,Osteoporosis caused by Glucocorticoid Drugs,2009-04-09,forteo pen injector,64474,5,5,"I have RA and because of the use of prednisone, I ended up in the hospital for a month (without surgery) because I fractured my back and hip and had to have intensive PT to even be able to turn over or sit up. I have been taking Forteo for 3 months now and have really not experienced any side effects and the shot is easy to give myself. The only problem I have noticed is that my hair seems to be falling out more than before I took this drug. I have a lot of hair, so it's not noticeable. I truly think this drug is helping me because my back and hip pain is now gone. I don't know if it is because my bones started growing back or PT that I go to 2 times per week over the last 6 months. Either way, I think the drug has been helpful.  ",5,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,8,0.9994357,0.9992514
1231,55-64,Osteoporosis in Men due to Deficient Function of Testis,2010-01-03,fosamax,1273,3,2,"I was diagnosed with thinning bones after neck surgery.  I took fosamax for 6 months without problems, then I began having mental anxiety/depression on days 2 through 5 after taking dose.  I know it was caused by this drug because I don't have this problem unless I take a dose and have been having symptoms like this for 12 months.  I dropped down to 1/2 pill and that helped some but still have the problem.  I'm white male, 59 years old.  Possible drug interaction with cavenoma tumor I have?  I don't know.  ",2,Male,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",1,0.99989295,0.011952045
1232,55-64,Post-Menopausal Osteoporosis Prevention,2009-12-13,fosamax,1273,4,3,"I have been taking this medication for almost a year and have had no side effects. However, I really can't tell if it is working. My Vitamin D levels are too low even though I am taking prescription Vitamin D at 1.25 mg once a week and supplement that with 1000 mg twice a day every day. I get my next DEXA scan in March. I hope that it will show that the Fosomax is working. I have questioned my doctor about it and he says to stay on it until my next scan.",3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.9994468,0.9992894
1233,35-44,Osteoporosis caused by Glucocorticoid Drugs,2008-12-17,forteo pen injector,64474,5,3,"I am a 40 yr old male with steroid induced
Osteoporosis. my BMD level is -4.6 and my 
doctor put me on Forteo. I've been on it for
9 months now, & am now growing really concerned. I am having muscle spasm, & have 
been living with a head  & neck pain for
the past month now. I go to sleep with the pain, wake up with it, & go through my days with it, and am now having slight jaw pain.

The pain goes from a scale of #2 to a #7 then back to #2 or 3 Everyday.

My doctor doesn't seem to think it's associated at all with the medicine and just tell me to take yet another prescription for pain. (HELLO..more drugs?

I've thankfully have not had any fractures, but am growing extremely concerned with all the talks of Tumors, Cancer, Jaw problems to
name a few. I am considering stopping the use of this medicine. Is there a support group out there for us in Fla? I am a Husband, a Father of 3 children ages 7, 9, & 15 and am thinking if I stop & break a bone, I live to see my kids another day. If I get Cancer of the bone my kids would lose their father quite rapidly, & don't know if 
can risk that. If there anyone out there that may be interested in chatting on line in regards to this dilema or has some information that feels can be useful to me
my email is MUNOZCARLOS26@GMAIL.COM

Thank You. ",3,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,16,0.9639027,0.007087661
1234,65-74,Osteoporosis caused by Glucocorticoid Drugs,2008-11-27,forteo pen injector,64474,4,2,"the cost is outrageous, esopec ialloy for someone on a fixed income",4,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,8,0.9474525,0.00067114504
1235,35-44,Post-Menopausal Osteoporosis Prevention,2009-08-30,fosamax,1273,1,1,"I am having severe side effects, mainly severe nausea, flu symptoms, and abdominal pain.  My doc put me on this med with my history of stomach ulcers and perforations, now I'm reading that it can cause them.",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",2,0.9998128,0.0013492106
1236,55-64,Osteoporosis in Men due to Deficient Function of Testis,2008-10-07,forteo pen injector,64474,5,5,I have been taking this drug for 14 months and have had a 12% increase in bone density.  It is easy to take and I have had no side effects.  The only negative is the cost $775.00 per 28 daily doses.,5,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,31,0.99946886,0.99885666
1237,45-54,Post-Menopausal Osteoporosis Prevention,2009-07-23,fosamax,1273,5,1,"I was taking Alemdronate Sodium 70 mg every week for almost 8 months and at first I began to get pain in my ankle. Then that pain moved up to my calf and then went up to my knee and then finally reached my pelvic joint. Basically my entire leg was in pain. I had trouble sleeping and turning in my sleep and getting off my bed. I had trouble sitting down on the couch and getting off of it. I had trouble getting in and out of the car. I had trouble walking and climbing stairs. 

My husband found this website and found info on this drug, which had been prescribed to me to prevent osteoperosis in the future. I had so much trouble and pain with this drug that my husband told me to stop taking it. He said that if I was going to get problems in the future, let them happen. He didn't want problems now. 

After stopping this drug, within 3 weeks, my pain was gone. Thank God my pain went away completely. Otherwise, some people on this website still suffered from the pain even after they stopped taking this horrible drug. 

Now I changed my diet. I take daily calcium citrate with vitamin D pills.

Thanks for this website where I got all the useful information.  ",1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",9,0.9979929,0.9864283
1238,55-64,Osteoporosis caused by Glucocorticoid Drugs,2008-08-20,forteo pen injector,64474,5,3,no commment,3,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,0,0.11495459,0.002928558
1239,35-44,Post-Menopausal Osteoporosis Prevention,2009-07-03,fosamax,1273,1,2,begining of  osteopin,2,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",0,0.17628852,0.92885435
1240,65-74,Osteoporosis in Men due to Deficient Function of Testis,2008-04-15,forteo pen injector,64474,2,3,"MALE, 66 YRS OLD; All comments are from women.  Are any men over 55 using forteo injections?  If so, what are your comments?  I have osteoporosis and reacted negatively to fosamax and boniva.  The Dr. has recommended that I use forteo injections for 30 days.  Any comments from men are requsted.  Thanks.",3,Male,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,10,0.9931503,0.6201167
1241,35-44,Osteoporosis caused by Glucocorticoid Drugs,2008-03-12,forteo pen injector,64474,1,1,"MY MOTHER WAS TAKING YHIS DRUG FOR ABOUT 3 MONTHS AND DEVELOPED A MASSIVE TUMER THAT WAS CANCER. THEN THE CANCER WENT TO HER LIVER,BONES,LUNGS,BLOOD WE FOUND THE CANCER IN AUG,07 AND SHE PASSED AWAY ON 11/28/07.AFTER LOTS OF CEMO & TORTURE & SUFFERING SHE IS IN A BETTER PLACE NOW. GOD BLESS",1,Female,Dizziness  or fast heartbeat may occur within 4 hours after using this  medication . These symptoms may persist for a few minutes to a few hours.,22,0.9335064,0.97141886
1242,45-54,Post-Menopausal Osteoporosis Prevention,2009-04-18,fosamax,1273,4,2,"Just took my 4th pill.  Not sure how it is working yet.  Dr put me on this med after my bone density test showed I was border-line osteoporosis. 
I have Fibromyalgia, so it is hard to say about the pain in muscles & joints. 
I noticed there seems to be more negative than positive comments about this pill.  I am considering talking w/my Dr about the alternatives.  I will say that I have noticed more nausea since taking this.   
",3,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",9,0.9997943,0.07281751
1243, ,Post-Menopausal Osteoporosis Prevention,2009-03-31,fosamax,1273,5,5,"I have had no problems with this medication however, I have been taking it for ten(10) and would like to stop.  I am 73 yrs old and have had no fractures since taking it.",5, ,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",8,0.99959284,0.9987884
1244,55-64,Post-Menopausal Osteoporosis Prevention,2009-02-05,fosamax,1273,1,3,ijust started this medication i take it once a week  but every bone in my body hurt and i thought i had the flu. should i keep taking it.i only took it once. i just started it last sat.,1,Female,"Stomach pain ,  constipation ,  diarrhea , gas, or  nausea  may occur.",11,0.9997565,0.0043213055
